id,team1_id,team2_id,result,season_id,date
1521,41,60,0-2,1,2019-08-08
1522,42,59,3-1,1,2019-08-08
1523,43,58,3-3,1,2019-08-08
1524,44,57,3-4,1,2019-08-08
1525,45,56,0-1,1,2019-08-08
1526,46,55,1-0,1,2019-08-08
1527,47,54,2-3,1,2019-08-08
1528,48,53,3-4,1,2019-08-08
1529,49,52,1-2,1,2019-08-08
1530,50,51,3-0,1,2019-08-08
1531,41,59,0-0,1,2019-08-15
1532,60,58,0-3,1,2019-08-15
1533,42,57,3-0,1,2019-08-15
1534,43,56,0-4,1,2019-08-15
1535,44,55,3-4,1,2019-08-15
1536,45,54,1-0,1,2019-08-15
1537,46,53,3-1,1,2019-08-15
1538,47,52,2-1,1,2019-08-15
1539,48,51,1-3,1,2019-08-15
1540,49,50,1-2,1,2019-08-15
1541,41,58,1-0,1,2019-08-22
1542,59,57,4-0,1,2019-08-22
1543,60,56,4-0,1,2019-08-22
1544,42,55,0-4,1,2019-08-22
1545,43,54,0-1,1,2019-08-22
1546,44,53,2-0,1,2019-08-22
1547,45,52,1-2,1,2019-08-22
1548,46,51,1-2,1,2019-08-22
1549,47,50,4-1,1,2019-08-22
1550,48,49,4-2,1,2019-08-22
1551,41,57,0-0,1,2019-09-01
1552,58,56,1-0,1,2019-09-01
1553,59,55,2-2,1,2019-09-01
1554,60,54,2-3,1,2019-09-01
1555,42,53,2-0,1,2019-09-01
1556,43,52,1-0,1,2019-09-01
1557,44,51,2-2,1,2019-09-01
1558,45,50,4-2,1,2019-09-01
1559,46,49,4-4,1,2019-09-01
1560,47,48,2-0,1,2019-09-01
1561,41,56,0-1,1,2019-09-08
1562,57,55,3-0,1,2019-09-08
1563,58,54,2-4,1,2019-09-08
1564,59,53,0-2,1,2019-09-08
1565,60,52,2-1,1,2019-09-08
1566,42,51,3-0,1,2019-09-08
1567,43,50,1-1,1,2019-09-08
1568,44,49,3-1,1,2019-09-08
1569,45,48,4-3,1,2019-09-08
1570,46,47,3-1,1,2019-09-08
1571,41,55,4-1,1,2019-09-15
1572,56,54,0-0,1,2019-09-15
1573,57,53,4-2,1,2019-09-15
1574,58,52,3-2,1,2019-09-15
1575,59,51,3-1,1,2019-09-15
1576,60,50,3-0,1,2019-09-15
1577,42,49,2-1,1,2019-09-15
1578,43,48,1-0,1,2019-09-15
1579,44,47,3-0,1,2019-09-15
1580,45,46,0-0,1,2019-09-15
1581,41,54,1-1,1,2019-09-22
1582,55,53,1-3,1,2019-09-22
1583,56,52,0-4,1,2019-09-22
1584,57,51,3-3,1,2019-09-22
1585,58,50,4-1,1,2019-09-22
1586,59,49,2-3,1,2019-09-22
1587,60,48,4-4,1,2019-09-22
1588,42,47,2-2,1,2019-09-22
1589,43,46,1-2,1,2019-09-22
1590,44,45,4-2,1,2019-09-22
1591,41,53,2-3,1,2019-10-01
1592,54,52,1-4,1,2019-10-01
1593,55,51,2-1,1,2019-10-01
1594,56,50,0-3,1,2019-10-01
1595,57,49,2-1,1,2019-10-01
1596,58,48,0-2,1,2019-10-01
1597,59,47,1-3,1,2019-10-01
1598,60,46,2-2,1,2019-10-01
1599,42,45,3-0,1,2019-10-01
1600,43,44,4-0,1,2019-10-01
1601,41,52,3-1,1,2019-10-08
1602,53,51,0-2,1,2019-10-08
1603,54,50,1-4,1,2019-10-08
1604,55,49,3-2,1,2019-10-08
1605,56,48,4-0,1,2019-10-08
1606,57,47,3-0,1,2019-10-08
1607,58,46,1-3,1,2019-10-08
1608,59,45,4-3,1,2019-10-08
1609,60,44,4-4,1,2019-10-08
1610,42,43,0-0,1,2019-10-08
1611,41,51,2-4,1,2019-10-15
1612,52,50,3-1,1,2019-10-15
1613,53,49,3-3,1,2019-10-15
1614,54,48,2-4,1,2019-10-15
1615,55,47,0-2,1,2019-10-15
1616,56,46,1-0,1,2019-10-15
1617,57,45,1-0,1,2019-10-15
1618,58,44,4-4,1,2019-10-15
1619,59,43,3-1,1,2019-10-15
1620,60,42,3-1,1,2019-10-15
1621,41,50,1-2,1,2019-10-22
1622,51,49,4-2,1,2019-10-22
1623,52,48,0-1,1,2019-10-22
1624,53,47,2-3,1,2019-10-22
1625,54,46,0-2,1,2019-10-22
1626,55,45,4-3,1,2019-10-22
1627,56,44,4-2,1,2019-10-22
1628,57,43,0-2,1,2019-10-22
1629,58,42,1-2,1,2019-10-22
1630,59,60,0-0,1,2019-10-22
