id,personal_data_id,position,season_id
1601,7,"CB
",1
1602,8,"CB
",1
1603,9,"RM
",1
1604,10,"LB
",1
1605,11,"LB
",1
1606,12,"LB
",1
1607,13,"RB
",1
1608,14,"CM
",1
1609,15,"LB
",1
1610,16,"RM
",1
1611,17,"GK
",1
1612,18,"GK
",1
1613,19,ST,1
1614,20,"CM
",1
1615,21,ST,1
1616,22,ST,1
1617,23,"CB
",1
1618,24,"CB
",1
1619,25,"RB
",1
1620,26,"LB
",1
1621,27,"RB
",1
1622,28,"CB
",1
1623,29,"LB
",1
1624,30,"RB
",1
1625,31,"RM
",1
1626,32,"CM
",1
1627,33,"RM
",1
1628,34,"CM
",1
1629,35,ST,1
1630,36,"LB
",1
1631,37,"LB
",1
1632,38,"LM
",1
1633,39,"GK
",1
1634,40,ST,1
1635,41,"LB
",1
1636,42,"RM
",1
1637,43,"CB
",1
1638,44,"CB
",1
1639,45,"CM
",1
1640,46,"CM
",1
1641,47,"RB
",1
1642,48,"LB
",1
1643,49,"CB
",1
1644,50,"RB
",1
1645,51,ST,1
1646,52,"RM
",1
1647,53,"RM
",1
1648,54,"LM
",1
1649,55,"CM
",1
1650,56,ST,1
1651,1595,"GK
",1
1652,57,"LM
",1
1653,58,"GK
",1
1654,59,"CB
",1
1655,60,"GK
",1
1656,61,"RB
",1
1657,62,"RB
",1
1658,63,"RM
",1
1659,64,"LM
",1
1660,65,"CM
",1
1661,66,"LB
",1
1662,67,"LB
",1
1663,68,"GK
",1
1664,69,"GK
",1
1665,70,"CB
",1
1666,71,"LM
",1
1667,72,"RM
",1
1668,73,"LB
",1
1669,74,ST,1
1670,75,"LB
",1
1671,76,"RM
",1
1672,77,"RM
",1
1673,78,"CM
",1
1674,79,"CM
",1
1675,80,"CM
",1
1676,81,"LB
",1
1677,82,"RM
",1
1678,83,"CM
",1
1679,84,"GK
",1
1680,85,"LB
",1
1681,86,"RB
",1
1682,87,"CB
",1
1683,88,"LM
",1
1684,89,ST,1
1685,90,"GK
",1
1686,91,"RM
",1
1687,92,"CM
",1
1688,93,"GK
",1
1689,94,"LM
",1
1690,95,"CM
",1
1691,96,"LB
",1
1692,97,"RB
",1
1693,98,"CB
",1
1694,99,"GK
",1
1695,100,ST,1
1696,101,"RB
",1
1697,102,"RB
",1
1698,103,"LB
",1
1699,104,ST,1
1700,105,"RM
",1
1701,106,"GK
",1
1702,107,"LB
",1
1703,108,"CM
",1
1704,109,"LM
",1
1705,110,"CM
",1
1706,111,"RM
",1
1707,112,"RM
",1
1708,113,"GK
",1
1709,114,ST,1
1710,115,ST,1
1711,116,"CB
",1
1712,117,"LM
",1
1713,118,ST,1
1714,119,ST,1
1715,120,"LM
",1
1716,121,"RB
",1
1717,122,"GK
",1
1718,123,"CB
",1
1719,124,"RB
",1
1720,125,ST,1
1721,126,"CB
",1
1722,127,"LB
",1
1723,128,"RB
",1
1724,129,"GK
",1
1725,130,"RB
",1
1726,131,"LM
",1
1727,132,"CM
",1
1728,133,"RM
",1
1729,134,"CB
",1
1730,135,"CM
",1
1731,136,"LM
",1
1732,137,"RB
",1
1733,138,"GK
",1
1734,139,ST,1
1735,140,"CB
",1
1736,141,ST,1
1737,142,"GK
",1
1738,143,"CM
",1
1739,144,"LM
",1
1740,145,"CM
",1
1741,146,"CM
",1
1742,147,"CB
",1
1743,148,"RB
",1
1744,149,"CM
",1
1745,150,"RM
",1
1746,151,"LM
",1
1747,152,ST,1
1748,153,ST,1
1749,154,ST,1
1750,155,"LM
",1
1751,156,ST,1
1752,157,"CB
",1
1753,158,"CM
",1
1754,159,"GK
",1
1755,160,"CM
",1
1756,161,"CB
",1
1757,162,ST,1
1758,163,"RB
",1
1759,164,"RB
",1
1760,165,"CM
",1
1761,166,"CB
",1
1762,167,"GK
",1
1763,168,"CB
",1
1764,169,ST,1
1765,170,"CM
",1
1766,171,"CM
",1
1767,172,"LB
",1
1768,173,"CM
",1
1769,174,"RM
",1
1770,175,"RM
",1
1771,176,"CM
",1
1772,177,"LM
",1
1773,178,ST,1
1774,179,"CB
",1
1775,180,"RB
",1
1776,181,"RB
",1
1777,182,ST,1
1778,183,"RM
",1
1779,184,"LB
",1
1780,185,"CB
",1
1781,186,"CB
",1
1782,187,"GK
",1
1783,188,"GK
",1
1784,189,"LB
",1
1785,190,"RB
",1
1786,191,"LB
",1
1787,192,"LB
",1
1788,193,"CB
",1
1789,194,"CM
",1
1790,195,"LM
",1
1791,196,"CM
",1
1792,197,ST,1
1793,198,ST,1
1794,199,"RM
",1
1795,200,"RM
",1
1796,201,"GK
",1
1797,202,"RB
",1
1798,203,"RM
",1
1799,204,ST,1
1800,205,ST,1
1801,206,"GK
",1
1802,207,"LB
",1
1803,208,"CM
",1
1804,209,"GK
",1
1805,210,"GK
",1
1806,211,"CM
",1
1807,212,"RM
",1
1808,213,"CB
",1
1809,214,"CB
",1
1810,215,"CM
",1
1811,216,"CB
",1
1812,217,ST,1
1813,218,"RM
",1
1814,219,ST,1
1815,220,"GK
",1
1816,221,"RM
",1
1817,222,"RB
",1
1818,223,ST,1
1819,224,"LM
",1
1820,225,"CB
",1
1821,226,"CB
",1
1822,227,"LB
",1
1823,228,"LM
",1
1824,229,"RM
",1
1825,230,"LM
",1
1826,231,"LM
",1
1827,232,"CM
",1
1828,233,"GK
",1
1829,234,ST,1
1830,235,"CB
",1
1831,236,"GK
",1
1832,237,"CB
",1
1833,238,ST,1
1834,239,"RM
",1
1835,240,"LM
",1
1836,241,"LM
",1
1837,242,"LB
",1
1838,243,"LM
",1
1839,244,"LB
",1
1840,245,"RB
",1
1841,246,"CB
",1
1842,247,"CB
",1
1843,248,"LB
",1
1844,249,"LM
",1
1845,250,"GK
",1
1846,251,ST,1
1847,252,"CB
",1
1848,253,"CB
",1
1849,254,"LM
",1
1850,255,"RM
",1
1851,256,"RB
",1
1852,257,"LM
",1
1853,258,ST,1
1854,259,"LM
",1
1855,260,"RM
",1
1856,261,"RM
",1
1857,262,"LM
",1
1858,263,"LM
",1
1859,264,"CB
",1
1860,265,"GK
",1
1861,266,ST,1
1862,267,"CM
",1
1863,268,"GK
",1
1864,269,"CB
",1
1865,270,"RM
",1
1866,271,ST,1
1867,272,"LM
",1
1868,273,"RB
",1
1869,274,"LB
",1
1870,275,"CM
",1
1871,276,"LB
",1
1872,277,"RB
",1
1873,278,"LM
",1
1874,279,ST,1
1875,280,"CB
",1
1876,281,"LM
",1
1877,282,"RM
",1
1878,283,"GK
",1
1879,284,"RB
",1
1880,285,"CB
",1
1881,286,"GK
",1
1882,287,"RM
",1
1883,288,"LM
",1
1884,289,"RB
",1
1885,290,"LM
",1
1886,291,"CB
",1
1887,292,"RB
",1
1888,293,"LB
",1
1889,294,"RB
",1
1890,295,ST,1
1891,296,"LM
",1
1892,297,"LB
",1
1893,298,"LM
",1
1894,299,"LB
",1
1895,300,"CM
",1
1896,301,"LB
",1
1897,302,"RM
",1
1898,303,"CB
",1
1899,304,"GK
",1
1900,305,"LB
",1
1901,306,"GK
",1
1902,307,"LM
",1
1903,308,"RM
",1
1904,309,"LB
",1
1905,310,"GK
",1
1906,311,"RM
",1
1907,312,ST,1
1908,313,"GK
",1
1909,314,"CB
",1
1910,315,"LB
",1
1911,316,"LM
",1
1912,317,"RB
",1
1913,318,"LB
",1
1914,319,ST,1
1915,320,ST,1
1916,321,ST,1
1917,322,"GK
",1
1918,323,"GK
",1
1919,324,ST,1
1920,325,"LM
",1
1921,326,"LM
",1
1922,327,"RM
",1
1923,328,"CM
",1
1924,329,"CB
",1
1925,330,ST,1
1926,331,ST,1
1927,332,"LM
",1
1928,333,"LM
",1
1929,334,ST,1
1930,335,"CB
",1
1931,336,"LB
",1
1932,337,"LB
",1
1933,338,"RB
",1
1934,339,"LM
",1
1935,340,"RB
",1
1936,341,"RM
",1
1937,342,"CM
",1
1938,343,"CB
",1
1939,344,"RM
",1
