id,league_id,season_id,team_id,week,w_position,points
3041,3,1,41,1,20,0
3042,3,1,44,1,19,0
3043,3,1,45,1,18,0
3044,3,1,47,1,17,0
3045,3,1,48,1,16,0
3046,3,1,49,1,15,0
3047,3,1,51,1,14,0
3048,3,1,55,1,13,0
3049,3,1,59,1,12,0
3050,3,1,43,1,11,1
3051,3,1,58,1,10,1
3052,3,1,52,1,9,3
3053,3,1,53,1,8,3
3054,3,1,54,1,7,3
3055,3,1,50,1,6,3
3056,3,1,56,1,5,3
3057,3,1,57,1,4,3
3058,3,1,42,1,3,3
3059,3,1,46,1,2,3
3060,3,1,60,1,1,3
3061,3,1,43,2,20,0
3062,3,1,44,2,19,0
3063,3,1,48,2,18,0
3064,3,1,54,2,17,0
3065,3,1,41,2,16,1
3066,3,1,57,2,15,1
3067,3,1,46,2,14,3
3068,3,1,47,2,13,3
3069,3,1,49,2,12,3
3070,3,1,50,2,11,3
3071,3,1,52,2,10,3
3072,3,1,53,2,9,3
3073,3,1,60,2,8,3
3074,3,1,58,2,7,3
3075,3,1,42,2,6,4
3076,3,1,59,2,5,4
3077,3,1,56,2,4,6
3078,3,1,45,2,3,6
3079,3,1,51,2,2,6
3080,3,1,55,2,1,6
3081,3,1,42,3,20,0
3082,3,1,43,3,19,0
3083,3,1,53,3,18,0
3084,3,1,56,3,17,1
3085,3,1,45,3,16,3
3086,3,1,46,3,15,3
3087,3,1,47,3,14,3
3088,3,1,49,3,13,3
3089,3,1,57,3,12,3
3090,3,1,41,3,11,4
3091,3,1,58,3,10,4
3092,3,1,50,3,9,6
3093,3,1,51,3,8,6
3094,3,1,52,3,7,6
3095,3,1,48,3,6,6
3096,3,1,59,3,5,6
3097,3,1,60,3,4,7
3098,3,1,55,3,3,9
3099,3,1,54,3,2,9
3100,3,1,44,3,1,9
3101,3,1,60,4,20,0
3102,3,1,52,4,19,0
3103,3,1,55,4,18,2
3104,3,1,42,4,17,3
3105,3,1,48,4,16,3
3106,3,1,56,4,15,3
3107,3,1,44,4,14,4
3108,3,1,46,4,13,4
3109,3,1,41,4,12,5
3110,3,1,57,4,11,5
3111,3,1,45,4,10,6
3112,3,1,50,4,9,6
3113,3,1,49,4,8,7
3114,3,1,51,4,7,7
3115,3,1,59,4,6,8
3116,3,1,53,4,5,9
3117,3,1,58,4,4,9
3118,3,1,47,4,3,9
3119,3,1,43,4,2,12
3120,3,1,54,4,1,12
3121,3,1,59,5,20,0
3122,3,1,51,5,19,0
3123,3,1,47,5,18,3
3124,3,1,55,5,17,3
3125,3,1,43,5,16,5
3126,3,1,54,5,15,5
3127,3,1,41,5,14,5
3128,3,1,49,5,13,6
3129,3,1,60,5,12,6
3130,3,1,48,5,11,7
3131,3,1,45,5,10,7
3132,3,1,50,5,9,8
3133,3,1,58,5,8,8
3134,3,1,56,5,7,8
3135,3,1,52,5,6,9
3136,3,1,44,5,5,9
3137,3,1,57,5,4,12
3138,3,1,46,5,3,12
3139,3,1,53,5,2,15
3140,3,1,42,5,1,15
3141,3,1,50,6,20,0
